points	Dis	area	people
29	411.597	3688	
114	569.64	15412	
17	300.217	743.5	
109	316.206	16326	
29	411.597	3688	
114	569.64	15412	
17	300.217	743.5	
109	316.206	16326	
29	411.597	3688	
114	569.64	15412	
17	300.217	743.5	
28	340.846	19847	
109	316.206	16326	
29	411.597	3688	
114	569.64	15412	
17	300.217	743.5	
109	316.206	16326	
29	411.597	3688	
114	569.64	15412	
17	300.217	743.5	
109	316.206	16326	
29	411.597	3688	
114	569.64	15412	
17	300.217	743.5	
109	316.206	16326	
29	411.597	3688	
114	569.64	15412	
17	300.217	743.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
25	408.718	4369	
85	571.048	15187	
84	315.357	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
109	316.206	16326	
29	411.597	3688	
114	569.64	15412	
17	300.217	743.5	
109	316.206	16326	
29	411.597	3688	
114	569.64	15412	
17	300.217	743.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
209	311.448	33948	
61	612.742	6846	
46	804.717	5452	
17	707.532	1719.5	
11	162.997	176.5	
23	410.183	3675.5	
85	571.048	15187	
83	316.242	16761.5	
20	288.267	2368.5	
21	438.919	1719	
16	397.126	1465	
73	532.358	11660.5	
